Package Name,Package Type,Custodian
pluggy,Dependency Package,1
ply,Dependency Package,2
pmdarima,Dependency Package,2
poetry,Dependency Package,2
poetry-core,Dependency Package,2
poetry-plugin-export,Base Package,1
polyfactory,Dependency Package,1
portalocker,Base Package,1
posthog,Dependency Package,2
pre-commit,Base Package,1
pre-commit-hooks,Dependency Package,1
preshed,Dependency Package,1
prometheus-client,Dependency Package,1
prompthub-py,Dependency Package,2
prompt-toolkit,Dependency Package,1
propcache,Dependency Package,2
protobuf,Dependency Package,1
proto-plus,Dependency Package,1
psutil,Dependency Package,1
ptyprocess,Dependency Package,1
pure-eval,Dependency Package,1
py,Dependency Package,2
pyaml,Base Package,2
pyarrow,Dependency Package,1
pyarrow-hotfix,Base Package,2
pyasn1,Dependency Package,1
pyasn1-modules,Dependency Package,1
pycodestyle,Dependency Package,2
pycparser,Dependency Package,1
pycryptodome,Dependency Package,2
pyctuator,Base Package,2
pydantic,Dependency Package,1
pydantic-core,Dependency Package,1
pydantic-settings,Dependency Package,2
pydash,Dependency Package,1
pydeck,Dependency Package,2
pyflakes,Dependency Package,2
Pygments,Dependency Package,1
PyHive,Base Package,2
PyJWT,Dependency Package,1
pylance,Base Package,2
pylint,Base Package,2
pyltr,Base Package,1
pymongo,Dependency Package,2
PyMuPDF,Base Package,2
PyMuPDFb,Base Package,2
PyNaCl,Dependency Package,1
PyNomaly,Dependency Package,2
pyodbc,Base Package,2
pyOpenSSL,Dependency Package,1
pyparsing,Dependency Package,1
pypdf,Dependency Package,2
pyproject-api,Dependency Package,2
pyproject-hooks,Dependency Package,1
PySocks,Base Package,1
pytesseract,Base Package,2
pytest,Dependency Package,1
pytest-asyncio,Base Package,1
pytest-cov,Base Package,1
pytest-httpx,Base Package,1
pytest-mock,Base Package,1
pytest-sugar,Base Package,1
python-dateutil,Dependency Package,1
python-dotenv,Dependency Package,1
python-iso639,Dependency Package,2
python-json-logger,Dependency Package,1
python-ldap,Base Package,2
python-magic,Dependency Package,2
python-multipart,Base Package,1
python-oxmsg,Dependency Package,2
python-slugify,Dependency Package,1
python-utils,Dependency Package,2
pytoolconfig,Dependency Package,1
pytz,Dependency Package,1
pywin32,Base Package,2
pywin32-ctypes,Base Package,2
PyYAML,Dependency Package,1
pyzmq,Dependency Package,1
quantulum3,Dependency Package,2
querystring-parser,Base Package,2
raiutils,Dependency Package,2
rank-bm25,Dependency Package,2
RapidFuzz,Dependency Package,2
ratelimiter,Base Package,2
readme-renderer,Dependency Package,2
recordlinkage,Base Package,1
referencing,Dependency Package,1
regex,Dependency Package,1
reportlab,Base Package,1
requests,Dependency Package,1
requests-cache,Dependency Package,2
